student_key,year,subject_id,episode_number,ep_final_date,week_start,status
2568-1001,2568,1,15,2025-06-03,2025-06-02,absent
2568-1001,2568,4,15,2025-06-06,2025-06-02,absent
2568-1001,2568,5,15,2025-06-04,2025-06-02,present
2568-1001,2568,6,15,2025-06-02,2025-06-02,absent
2568-1001,2568,1,16,2025-06-12,2025-06-09,present
2568-1001,2568,4,16,2025-06-13,2025-06-09,leave
2568-1001,2568,5,16,2025-06-13,2025-06-09,absent
2568-1001,2568,6,16,2025-06-11,2025-06-09,present
2568-1001,2568,1,17,2025-06-19,2025-06-16,absent
2568-1001,2568,4,17,2025-06-20,2025-06-16,absent
2568-1001,2568,5,17,2025-06-17,2025-06-16,present
2568-1001,2568,6,17,2025-06-19,2025-06-16,leave
2568-1001,2568,1,18,2025-06-25,2025-06-23,absent
2568-1001,2568,4,18,2025-06-27,2025-06-23,present
2568-1001,2568,5,18,2025-06-25,2025-06-23,absent
2568-1001,2568,6,18,2025-06-26,2025-06-23,present
2568-1001,2568,1,19,2025-07-02,2025-06-30,absent
2568-1001,2568,4,19,2025-07-05,2025-06-30,present
2568-1001,2568,5,19,2025-07-04,2025-06-30,present
2568-1001,2568,6,19,2025-07-05,2025-06-30,absent
2568-1001,2568,1,20,2025-07-12,2025-07-07,present
2568-1001,2568,4,20,2025-07-07,2025-07-07,absent
2568-1001,2568,5,20,2025-07-11,2025-07-07,absent
2568-1001,2568,6,20,2025-07-08,2025-07-07,present
2568-1001,2568,1,21,2025-07-17,2025-07-14,present
2568-1001,2568,4,21,2025-07-17,2025-07-14,absent
2568-1001,2568,5,21,2025-07-19,2025-07-14,present
2568-1001,2568,6,21,2025-07-14,2025-07-14,absent
2568-1001,2568,1,22,2025-07-22,2025-07-21,present
2568-1001,2568,4,22,2025-07-24,2025-07-21,present
2568-1001,2568,5,22,2025-07-21,2025-07-21,present
2568-1001,2568,6,22,2025-07-23,2025-07-21,present
2568-1001,2568,1,23,2025-08-01,2025-07-28,present
2568-1001,2568,4,23,2025-08-02,2025-07-28,absent
2568-1001,2568,5,23,2025-07-28,2025-07-28,present
2568-1001,2568,6,23,2025-08-02,2025-07-28,present
2568-1002,2568,1,2,2025-03-05,2025-03-03,present
2568-1002,2568,4,2,2025-03-06,2025-03-03,absent
2568-1002,2568,5,2,2025-03-04,2025-03-03,present
2568-1002,2568,6,2,2025-03-06,2025-03-03,present
2568-1002,2568,1,3,2025-03-14,2025-03-10,absent
