student_key,year,exam_id,subject_id,exam_type,submitted_at,percentage,passed
2568-1001,2568,2568-S5-P6,5,practice,2025-06-10 20:00:00,49.1,0
2568-1001,2568,2568-S6-P6,6,practice,2025-06-11 21:00:00,81.9,1
2568-1001,2568,2568-S4-C3,4,checkpoint,2025-06-27 20:00:00,61.6,1
2568-1001,2568,2568-S5-C3,5,checkpoint,2025-06-24 17:00:00,66.1,1
2568-1001,2568,2568-S6-C3,6,checkpoint,2025-06-26 16:00:00,94.2,1
2568-1001,2568,2568-S1-P8,1,practice,2025-07-23 22:00:00,46.7,0
2568-1001,2568,2568-S4-P8,4,practice,2025-07-23 20:00:00,62.2,1
2568-1001,2568,2568-S5-P8,5,practice,2025-07-26 17:00:00,55.2,1
2568-1001,2568,2568-S6-P8,6,practice,2025-07-26 17:00:00,66.0,1
2568-1002,2568,2568-S1-P2,1,practice,2025-03-23 20:00:00,83.4,1
2568-1002,2568,2568-S4-P2,4,practice,2025-03-22 20:00:00,90.6,1
2568-1002,2568,2568-S5-P2,5,practice,2025-03-20 19:00:00,87.9,1
2568-1002,2568,2568-S6-P2,6,practice,2025-03-21 22:00:00,100.0,1
2568-1002,2568,2568-S1-C1,1,checkpoint,2025-04-05 20:00:00,75.8,1
2568-1002,2568,2568-S4-C1,4,checkpoint,2025-04-05 21:00:00,48.0,0
2568-1002,2568,2568-S5-C1,5,checkpoint,2025-04-01 19:00:00,80.5,1
2568-1002,2568,2568-S1-P3,1,practice,2025-04-07 19:00:00,87.1,1
2568-1002,2568,2568-S4-P3,4,practice,2025-04-13 22:00:00,55.2,1
2568-1002,2568,2568-S1-P4,1,practice,2025-05-03 18:00:00,83.8,1
2568-1002,2568,2568-S5-P4,5,practice,2025-05-01 16:00:00,64.5,1
2568-1002,2568,2568-S6-P4,6,practice,2025-05-02 19:00:00,67.4,1
2568-1002,2568,2568-S1-C2,1,checkpoint,2025-05-12 16:00:00,84.2,1
2568-1002,2568,2568-S4-C2,4,checkpoint,2025-05-15 19:00:00,63.1,1
2568-1002,2568,2568-S4-P5,4,practice,2025-05-25 22:00:00,67.0,1
2568-1002,2568,2568-S5-P5,5,practice,2025-05-25 21:00:00,85.1,1
2568-1002,2568,2568-S6-P5,6,practice,2025-05-24 18:00:00,100.0,1
2568-1002,2568,2568-S5-P6,5,practice,2025-06-10 21:00:00,93.7,1
2568-1002,2568,2568-S6-P6,6,practice,2025-06-13 18:00:00,91.5,1
2568-1002,2568,2568-S1-C3,1,checkpoint,2025-06-27 16:00:00,56.6,1
2568-1002,2568,2568-S4-C3,4,checkpoint,2025-06-26 21:00:00,66.7,1
2568-1002,2568,2568-S5-C3,5,checkpoint,2025-06-27 19:00:00,59.7,1
2568-1002,2568,2568-S6-C3,6,checkpoint,2025-06-29 17:00:00,45.1,0
2568-1002,2568,2568-S1-P7,1,practice,2025-07-02 19:00:00,82.4,1
2568-1002,2568,2568-S5-P7,5,practice,2025-07-03 17:00:00,63.0,1
2568-1002,2568,2568-S6-P8,6,practice,2025-07-23 21:00:00,88.4,1
2568-1003,2568,2568-S1-P2,1,practice,2025-03-20 16:00:00,62.6,1
2568-1003,2568,2568-S5-P2,5,practice,2025-03-21 17:00:00,68.5,1
2568-1003,2568,2568-S1-C1,1,checkpoint,2025-04-02 21:00:00,71.0,1
2568-1003,2568,2568-S4-C1,4,checkpoint,2025-04-06 17:00:00,52.1,1
2568-1003,2568,2568-S6-C1,6,checkpoint,2025-04-03 18:00:00,78.9,1
2568-1003,2568,2568-S5-P3,5,practice,2025-04-13 16:00:00,58.1,1
2568-1003,2568,2568-S4-P4,4,practice,2025-05-01 16:00:00,74.7,1
2568-1003,2568,2568-S1-C2,1,checkpoint,2025-05-18 16:00:00,55.1,1
2568-1003,2568,2568-S6-C2,6,checkpoint,2025-05-14 18:00:00,80.9,1
2568-1003,2568,2568-S4-P5,4,practice,2025-05-20 17:00:00,52.2,1
2568-1003,2568,2568-S5-P5,5,practice,2025-05-21 22:00:00,57.8,1
2568-1003,2568,2568-S4-P6,4,practice,2025-06-11 20:00:00,48.4,0
2568-1003,2568,2568-S5-P6,5,practice,2025-06-09 22:00:00,62.2,1
2568-1003,2568,2568-S6-C3,6,checkpoint,2025-06-24 20:00:00,64.2,1
2568-1003,2568,2568-S4-P7,4,practice,2025-06-30 21:00:00,65.6,1
2568-1003,2568,2568-S5-P7,5,practice,2025-07-04 17:00:00,80.9,1
2568-1003,2568,2568-S6-P8,6,practice,2025-07-25 19:00:00,64.5,1
2568-1003,2568,2568-S5-P9,5,practice,2025-08-12 16:00:00,65.9,1
2568-1003,2568,2568-S6-P9,6,practice,2025-08-14 17:00:00,32.0,0
2568-1004,2568,2568-S1-P2,1,practice,2025-03-21 16:00:00,51.0,1
2568-1004,2568,2568-S6-P2,6,practice,2025-03-17 22:00:00,73.4,1
2568-1004,2568,2568-S1-C1,1,checkpoint,2025-04-02 17:00:00,93.0,1
2568-1004,2568,2568-S4-C1,4,checkpoint,2025-04-01 18:00:00,77.0,1
2568-1004,2568,2568-S5-C1,5,checkpoint,2025-04-05 21:00:00,67.6,1
2568-1004,2568,2568-S6-C1,6,checkpoint,2025-04-01 21:00:00,80.0,1
2568-1004,2568,2568-S1-P3,1,practice,2025-04-07 22:00:00,79.2,1
2568-1004,2568,2568-S6-P3,6,practice,2025-04-09 16:00:00,78.6,1
2568-1004,2568,2568-S1-P4,1,practice,2025-04-29 17:00:00,84.6,1
2568-1004,2568,2568-S4-P4,4,practice,2025-04-29 21:00:00,73.5,1
2568-1004,2568,2568-S5-P4,5,practice,2025-05-03 20:00:00,88.6,1
2568-1004,2568,2568-S6-P4,6,practice,2025-05-03 19:00:00,66.6,1
2568-1004,2568,2568-S4-C2,4,checkpoint,2025-05-13 18:00:00,68.8,1
2568-1004,2568,2568-S6-C2,6,checkpoint,2025-05-12 18:00:00,87.9,1
2568-1004,2568,2568-S1-P5,1,practice,2025-05-20 22:00:00,82.4,1
2568-1004,2568,2568-S4-P5,4,practice,2025-05-22 21:00:00,63.7,1
2568-1004,2568,2568-S5-P5,5,practice,2025-05-19 22:00:00,74.6,1
2568-1004,2568,2568-S6-P5,6,practice,2025-05-23 22:00:00,72.4,1
2568-1004,2568,2568-S1-P6,1,practice,2025-06-10 20:00:00,61.2,1
2568-1004,2568,2568-S6-P6,6,practice,2025-06-15 18:00:00,74.0,1
2568-1004,2568,2568-S1-C3,1,checkpoint,2025-06-25 17:00:00,67.4,1
2568-1004,2568,2568-S4-C3,4,checkpoint,2025-06-28 22:00:00,66.8,1
2568-1004,2568,2568-S5-C3,5,checkpoint,2025-06-23 20:00:00,81.1,1
2568-1004,2568,2568-S6-P7,6,practice,2025-07-04 18:00:00,53.5,1
2568-1004,2568,2568-S1-P8,1,practice,2025-07-21 16:00:00,79.6,1
2568-1004,2568,2568-S4-P8,4,practice,2025-07-27 22:00:00,81.4,1
2568-1004,2568,2568-S4-C4,4,checkpoint,2025-08-04 22:00:00,83.2,1
2568-1004,2568,2568-S6-C4,6,checkpoint,2025-08-04 21:00:00,61.5,1
2568-1004,2568,2568-S1-P9,1,practice,2025-08-13 22:00:00,61.0,1
2568-1005,2568,2568-S4-P2,4,practice,2025-03-21 18:00:00,73.1,1
2568-1005,2568,2568-S4-C1,4,checkpoint,2025-04-03 18:00:00,68.8,1
2568-1005,2568,2568-S5-C1,5,checkpoint,2025-04-06 17:00:00,100.0,1
2568-1005,2568,2568-S4-P3,4,practice,2025-04-10 18:00:00,54.3,1
2568-1005,2568,2568-S6-P3,6,practice,2025-04-09 20:00:00,89.2,1
2568-1005,2568,2568-S1-P4,1,practice,2025-04-29 16:00:00,77.2,1
2568-1005,2568,2568-S5-P4,5,practice,2025-05-02 21:00:00,85.0,1
2568-1005,2568,2568-S1-P5,1,practice,2025-05-25 19:00:00,78.1,1
2568-1005,2568,2568-S4-P5,4,practice,2025-05-22 17:00:00,76.2,1
2568-1005,2568,2568-S5-P5,5,practice,2025-05-19 18:00:00,69.6,1
2568-1005,2568,2568-S1-P6,1,practice,2025-06-10 19:00:00,46.7,0
2568-1005,2568,2568-S1-C3,1,checkpoint,2025-06-27 16:00:00,51.4,1
2568-1005,2568,2568-S4-C3,4,checkpoint,2025-06-25 21:00:00,66.0,1
2568-1005,2568,2568-S5-C3,5,checkpoint,2025-06-27 16:00:00,80.6,1
2568-1005,2568,2568-S6-C3,6,checkpoint,2025-06-25 20:00:00,83.2,1
2568-1005,2568,2568-S1-P7,1,practice,2025-07-03 21:00:00,52.1,1
2568-1005,2568,2568-S5-P7,5,practice,2025-07-04 16:00:00,82.7,1
2568-1005,2568,2568-S5-P8,5,practice,2025-07-23 21:00:00,95.4,1
2568-1005,2568,2568-S6-P8,6,practice,2025-07-26 17:00:00,53.3,1
2568-1005,2568,2568-S1-C4,1,checkpoint,2025-08-08 19:00:00,67.6,1
2568-1005,2568,2568-S5-C4,5,checkpoint,2025-08-10 16:00:00,58.1,1
2568-1005,2568,2568-S6-C4,6,checkpoint,2025-08-04 20:00:00,72.8,1
2568-1005,2568,2568-S1-P9,1,practice,2025-08-16 21:00:00,66.0,1
2568-1005,2568,2568-S4-P9,4,practice,2025-08-16 16:00:00,71.3,1
2568-1006,2568,2568-S4-P2,4,practice,2025-03-19 21:00:00,67.7,1
2568-1006,2568,2568-S5-P2,5,practice,2025-03-19 20:00:00,88.3,1
2568-1006,2568,2568-S1-C1,1,checkpoint,2025-04-04 17:00:00,81.8,1
2568-1006,2568,2568-S5-C1,5,checkpoint,2025-04-03 19:00:00,70.6,1
2568-1006,2568,2568-S5-P3,5,practice,2025-04-10 18:00:00,90.9,1
2568-1006,2568,2568-S1-P4,1,practice,2025-05-02 20:00:00,91.7,1
2568-1006,2568,2568-S4-P4,4,practice,2025-04-28 22:00:00,65.9,1
2568-1006,2568,2568-S5-P4,5,practice,2025-04-29 16:00:00,86.3,1
2568-1006,2568,2568-S5-C2,5,checkpoint,2025-05-15 16:00:00,92.1,1
2568-1006,2568,2568-S4-P5,4,practice,2025-05-25 20:00:00,69.8,1
2568-1006,2568,2568-S5-P5,5,practice,2025-05-23 19:00:00,97.2,1
2568-1006,2568,2568-S1-P6,1,practice,2025-06-11 20:00:00,86.0,1
2568-1006,2568,2568-S4-P6,4,practice,2025-06-14 17:00:00,85.7,1
2568-1006,2568,2568-S5-P6,5,practice,2025-06-12 19:00:00,84.7,1
2568-1006,2568,2568-S1-C3,1,checkpoint,2025-06-23 16:00:00,73.7,1
2568-1006,2568,2568-S4-C3,4,checkpoint,2025-06-25 22:00:00,100.0,1
2568-1006,2568,2568-S1-P7,1,practice,2025-07-03 18:00:00,85.9,1
2568-1006,2568,2568-S4-P7,4,practice,2025-06-30 21:00:00,86.1,1
2568-1006,2568,2568-S5-P7,5,practice,2025-07-02 16:00:00,71.1,1
2568-1007,2568,2568-S1-P3,1,practice,2025-04-13 21:00:00,65.5,1
2568-1007,2568,2568-S5-P3,5,practice,2025-04-13 16:00:00,68.4,1
2568-1007,2568,2568-S1-P4,1,practice,2025-05-04 19:00:00,78.3,1
2568-1007,2568,2568-S4-P4,4,practice,2025-04-29 21:00:00,70.7,1
2568-1007,2568,2568-S5-P4,5,practice,2025-05-03 16:00:00,76.3,1
2568-1007,2568,2568-S6-P4,6,practice,2025-05-02 17:00:00,78.2,1
2568-1007,2568,2568-S1-C2,1,checkpoint,2025-05-18 22:00:00,78.5,1
2568-1007,2568,2568-S5-C2,5,checkpoint,2025-05-13 20:00:00,81.2,1
2568-1007,2568,2568-S6-C2,6,checkpoint,2025-05-16 18:00:00,73.4,1
2568-1007,2568,2568-S1-P5,1,practice,2025-05-21 18:00:00,72.1,1
2568-1007,2568,2568-S4-P5,4,practice,2025-05-24 16:00:00,100.0,1
2568-1007,2568,2568-S6-P5,6,practice,2025-05-25 17:00:00,62.8,1
2568-1007,2568,2568-S4-P6,4,practice,2025-06-10 17:00:00,82.7,1
2568-1007,2568,2568-S4-C3,4,checkpoint,2025-06-25 17:00:00,76.7,1
2568-1007,2568,2568-S5-C3,5,checkpoint,2025-06-29 19:00:00,70.4,1
