exam_id,year,subject_id,exam_type,chapter,total_questions,available_from_week
2568-S1-P1,2568,1,practice,1,20,2025-02-24
2568-S1-P2,2568,1,practice,2,10,2025-03-17
2568-S1-P3,2568,1,practice,3,17,2025-04-07
2568-S1-P4,2568,1,practice,4,15,2025-04-28
2568-S1-P5,2568,1,practice,5,20,2025-05-19
2568-S1-P6,2568,1,practice,6,12,2025-06-09
2568-S1-P7,2568,1,practice,7,14,2025-06-30
2568-S1-P8,2568,1,practice,8,17,2025-07-21
2568-S1-P9,2568,1,practice,9,11,2025-08-11
2568-S1-C1,2568,1,checkpoint,C1,25,2025-03-31
2568-S1-C2,2568,1,checkpoint,C2,25,2025-05-12
2568-S1-C3,2568,1,checkpoint,C3,25,2025-06-23
2568-S1-C4,2568,1,checkpoint,C4,25,2025-08-04
2568-S4-P1,2568,4,practice,1,18,2025-02-24
2568-S4-P2,2568,4,practice,2,15,2025-03-17
2568-S4-P3,2568,4,practice,3,20,2025-04-07
2568-S4-P4,2568,4,practice,4,12,2025-04-28
2568-S4-P5,2568,4,practice,5,11,2025-05-19
2568-S4-P6,2568,4,practice,6,10,2025-06-09
2568-S4-P7,2568,4,practice,7,17,2025-06-30
2568-S4-P8,2568,4,practice,8,16,2025-07-21
2568-S4-P9,2568,4,practice,9,19,2025-08-11
2568-S4-C1,2568,4,checkpoint,C1,25,2025-03-31
2568-S4-C2,2568,4,checkpoint,C2,25,2025-05-12
2568-S4-C3,2568,4,checkpoint,C3,25,2025-06-23
2568-S4-C4,2568,4,checkpoint,C4,25,2025-08-04
2568-S5-P1,2568,5,practice,1,17,2025-02-24
2568-S5-P2,2568,5,practice,2,11,2025-03-17
2568-S5-P3,2568,5,practice,3,16,2025-04-07
2568-S5-P4,2568,5,practice,4,19,2025-04-28
2568-S5-P5,2568,5,practice,5,16,2025-05-19
2568-S5-P6,2568,5,practice,6,11,2025-06-09
2568-S5-P7,2568,5,practice,7,19,2025-06-30
2568-S5-P8,2568,5,practice,8,18,2025-07-21
2568-S5-P9,2568,5,practice,9,10,2025-08-11
2568-S5-C1,2568,5,checkpoint,C1,25,2025-03-31
2568-S5-C2,2568,5,checkpoint,C2,25,2025-05-12
2568-S5-C3,2568,5,checkpoint,C3,25,2025-06-23
2568-S5-C4,2568,5,checkpoint,C4,25,2025-08-04
2568-S6-P1,2568,6,practice,1,11,2025-02-24
2568-S6-P2,2568,6,practice,2,14,2025-03-17
2568-S6-P3,2568,6,practice,3,16,2025-04-07
2568-S6-P4,2568,6,practice,4,18,2025-04-28
2568-S6-P5,2568,6,practice,5,10,2025-05-19
2568-S6-P6,2568,6,practice,6,12,2025-06-09
2568-S6-P7,2568,6,practice,7,11,2025-06-30
2568-S6-P8,2568,6,practice,8,19,2025-07-21
2568-S6-P9,2568,6,practice,9,18,2025-08-11
2568-S6-C1,2568,6,checkpoint,C1,25,2025-03-31
2568-S6-C2,2568,6,checkpoint,C2,25,2025-05-12
2568-S6-C3,2568,6,checkpoint,C3,25,2025-06-23
2568-S6-C4,2568,6,checkpoint,C4,25,2025-08-04
2569-S1-P1,2569,1,practice,1,18,2026-02-23
2569-S1-P2,2569,1,practice,2,12,2026-03-16
2569-S1-P3,2569,1,practice,3,15,2026-04-06
2569-S1-P4,2569,1,practice,4,19,2026-04-27
2569-S1-P5,2569,1,practice,5,14,2026-05-18
2569-S1-P6,2569,1,practice,6,15,2026-06-08
2569-S1-P7,2569,1,practice,7,20,2026-06-29
2569-S1-P8,2569,1,practice,8,13,2026-07-20
2569-S1-P9,2569,1,practice,9,19,2026-08-10
2569-S1-C1,2569,1,checkpoint,C1,25,2026-03-30
2569-S1-C2,2569,1,checkpoint,C2,25,2026-05-11
2569-S1-C3,2569,1,checkpoint,C3,25,2026-06-22
2569-S1-C4,2569,1,checkpoint,C4,25,2026-08-03
2569-S4-P1,2569,4,practice,1,14,2026-02-23
2569-S4-P2,2569,4,practice,2,13,2026-03-16
2569-S4-P3,2569,4,practice,3,20,2026-04-06
2569-S4-P4,2569,4,practice,4,15,2026-04-27
2569-S4-P5,2569,4,practice,5,15,2026-05-18
2569-S4-P6,2569,4,practice,6,10,2026-06-08
2569-S4-P7,2569,4,practice,7,11,2026-06-29
2569-S4-P8,2569,4,practice,8,16,2026-07-20
2569-S4-P9,2569,4,practice,9,18,2026-08-10
2569-S4-C1,2569,4,checkpoint,C1,25,2026-03-30
2569-S4-C2,2569,4,checkpoint,C2,25,2026-05-11
2569-S4-C3,2569,4,checkpoint,C3,25,2026-06-22
2569-S4-C4,2569,4,checkpoint,C4,25,2026-08-03
2569-S5-P1,2569,5,practice,1,17,2026-02-23
2569-S5-P2,2569,5,practice,2,13,2026-03-16
2569-S5-P3,2569,5,practice,3,13,2026-04-06
2569-S5-P4,2569,5,practice,4,11,2026-04-27
2569-S5-P5,2569,5,practice,5,19,2026-05-18
2569-S5-P6,2569,5,practice,6,20,2026-06-08
2569-S5-P7,2569,5,practice,7,18,2026-06-29
2569-S5-P8,2569,5,practice,8,19,2026-07-20
2569-S5-P9,2569,5,practice,9,17,2026-08-10
2569-S5-C1,2569,5,checkpoint,C1,25,2026-03-30
2569-S5-C2,2569,5,checkpoint,C2,25,2026-05-11
2569-S5-C3,2569,5,checkpoint,C3,25,2026-06-22
2569-S5-C4,2569,5,checkpoint,C4,25,2026-08-03
2569-S6-P1,2569,6,practice,1,17,2026-02-23
2569-S6-P2,2569,6,practice,2,12,2026-03-16
2569-S6-P3,2569,6,practice,3,15,2026-04-06
2569-S6-P4,2569,6,practice,4,16,2026-04-27
2569-S6-P5,2569,6,practice,5,17,2026-05-18
2569-S6-P6,2569,6,practice,6,12,2026-06-08
2569-S6-P7,2569,6,practice,7,15,2026-06-29
2569-S6-P8,2569,6,practice,8,16,2026-07-20
2569-S6-P9,2569,6,practice,9,13,2026-08-10
2569-S6-C1,2569,6,checkpoint,C1,25,2026-03-30
2569-S6-C2,2569,6,checkpoint,C2,25,2026-05-11
2569-S6-C3,2569,6,checkpoint,C3,25,2026-06-22
2569-S6-C4,2569,6,checkpoint,C4,25,2026-08-03
