student_key,month,att_next_month_pct
2568-1001,2025-06,68.8
2568-1001,2025-07,0.0
2568-1002,2025-03,75.0
2568-1002,2025-04,68.8
2568-1002,2025-05,65.0
2568-1002,2025-06,62.5
2568-1002,2025-07,0.0
2568-1003,2025-03,43.8
2568-1003,2025-04,56.2
2568-1003,2025-05,50.0
2568-1003,2025-06,81.2
2568-1003,2025-07,37.5
2568-1003,2025-08,50.0
2568-1003,2025-09,0.0
2568-1004,2025-03,75.0
2568-1004,2025-04,75.0
2568-1004,2025-05,70.0
2568-1004,2025-06,81.2
2568-1004,2025-07,56.2
2568-1004,2025-08,50.0
2568-1004,2025-09,0.0
2568-1005,2025-03,81.2
2568-1005,2025-04,68.8
2568-1005,2025-05,65.0
2568-1005,2025-06,56.2
2568-1005,2025-07,56.2
2568-1005,2025-08,50.0
2568-1005,2025-09,0.0
2568-1006,2025-03,66.7
2568-1006,2025-04,58.3
2568-1006,2025-05,73.3
2568-1006,2025-06,0.0
2568-1007,2025-04,62.5
2568-1007,2025-05,75.0
2568-1007,2025-06,68.8
2568-1007,2025-07,0.0
2568-1008,2025-04,56.2
2568-1008,2025-05,65.0
2568-1008,2025-06,56.2
2568-1008,2025-07,62.5
2568-1008,2025-08,75.0
2568-1008,2025-09,0.0
2568-1009,2025-06,100.0
2568-1009,2025-07,100.0
2568-1009,2025-08,100.0
2568-1009,2025-09,0.0
2568-1010,2025-04,93.8
2568-1010,2025-05,70.0
2568-1010,2025-06,81.2
2568-1010,2025-07,75.0
2568-1010,2025-08,75.0
2568-1010,2025-09,0.0
2568-1011,2025-06,100.0
2568-1011,2025-07,93.8
2568-1011,2025-08,100.0
2568-1011,2025-09,0.0
2568-1012,2025-03,100.0
2568-1012,2025-04,87.5
2568-1012,2025-05,100.0
2568-1012,2025-06,87.5
2568-1012,2025-07,87.5
2568-1012,2025-08,100.0
2568-1012,2025-09,0.0
2568-1013,2025-04,68.8
2568-1013,2025-05,75.0
2568-1013,2025-06,75.0
2568-1013,2025-07,81.2
2568-1013,2025-08,25.0
2568-1013,2025-09,0.0
2568-1014,2025-03,81.2
2568-1014,2025-04,68.8
2568-1014,2025-05,55.0
2568-1014,2025-06,62.5
2568-1014,2025-07,68.8
2568-1014,2025-08,75.0
2568-1014,2025-09,0.0
2568-1015,2025-03,0.0
2568-1016,2025-03,87.5
2568-1016,2025-04,87.5
2568-1016,2025-05,90.0
2568-1016,2025-06,87.5
2568-1016,2025-07,0.0
2568-1017,2025-03,62.5
2568-1017,2025-04,75.0
2568-1017,2025-05,60.0
2568-1017,2025-06,75.0
2568-1017,2025-07,75.0
2568-1017,2025-08,100.0
2568-1017,2025-09,0.0
2568-1018,2025-04,50.0
2568-1018,2025-05,73.3
2568-1018,2025-06,83.3
2568-1018,2025-07,50.0
2568-1018,2025-08,100.0
2568-1018,2025-09,0.0
2568-1019,2025-05,75.0
2568-1019,2025-06,87.5
2568-1019,2025-07,0.0
2568-1020,2025-04,68.8
2568-1020,2025-05,60.0
2568-1020,2025-06,50.0
2568-1020,2025-07,75.0
2568-1020,2025-08,50.0
2568-1020,2025-09,0.0
2568-1021,2025-03,100.0
2568-1021,2025-04,81.2
2568-1021,2025-05,95.0
2568-1021,2025-06,75.0
2568-1021,2025-07,93.8
2568-1021,2025-08,50.0
2568-1021,2025-09,0.0
2568-1022,2025-03,50.0
2568-1022,2025-04,75.0
2568-1022,2025-05,73.3
2568-1022,2025-06,58.3
2568-1022,2025-07,58.3
2568-1022,2025-08,100.0
2568-1022,2025-09,0.0
2568-1023,2025-04,25.0
2568-1023,2025-05,70.0
2568-1023,2025-06,0.0
2568-1024,2025-04,87.5
2568-1024,2025-05,60.0
2568-1024,2025-06,75.0
2568-1024,2025-07,0.0
2568-1025,2025-03,87.5
2568-1025,2025-04,75.0
2568-1025,2025-05,80.0
2568-1025,2025-06,75.0
2568-1025,2025-07,50.0
2568-1025,2025-08,0.0
2568-1026,2025-03,68.8
2568-1026,2025-04,68.8
2568-1026,2025-05,65.0
2568-1026,2025-06,68.8
2568-1026,2025-07,62.5
2568-1026,2025-08,100.0
2568-1026,2025-09,0.0
2568-1027,2025-03,87.5
2568-1027,2025-04,75.0
2568-1027,2025-05,85.0
2568-1027,2025-06,81.2
2568-1027,2025-07,81.2
2568-1027,2025-08,50.0
2568-1027,2025-09,0.0
2568-1028,2025-03,100.0
2568-1028,2025-04,68.8
2568-1028,2025-05,90.0
2568-1028,2025-06,87.5
2568-1028,2025-07,0.0
2568-1029,2025-03,93.8
2568-1029,2025-04,87.5
2568-1029,2025-05,100.0
2568-1029,2025-06,0.0
2568-1030,2025-03,100.0
2568-1030,2025-04,93.8
2568-1030,2025-05,90.0
2568-1030,2025-06,93.8
2568-1030,2025-07,81.2
2568-1030,2025-08,100.0
2568-1030,2025-09,0.0
2568-1031,2025-03,62.5
2568-1031,2025-04,75.0
2568-1031,2025-05,45.0
2568-1031,2025-06,43.8
2568-1031,2025-07,62.5
2568-1031,2025-08,100.0
2568-1031,2025-09,0.0
2568-1032,2025-03,100.0
2568-1032,2025-04,87.5
2568-1032,2025-05,100.0
2568-1032,2025-06,100.0
2568-1032,2025-07,93.8
2568-1032,2025-08,100.0
2568-1032,2025-09,0.0
2568-1033,2025-03,75.0
2568-1033,2025-04,62.5
2568-1033,2025-05,60.0
2568-1033,2025-06,75.0
2568-1033,2025-07,50.0
2568-1033,2025-08,0.0
2568-1034,2025-04,91.7
2568-1034,2025-05,93.3
2568-1034,2025-06,66.7
2568-1034,2025-07,91.7
2568-1034,2025-08,100.0
2568-1034,2025-09,0.0
2568-1035,2025-04,100.0
2568-1035,2025-05,80.0
2568-1035,2025-06,87.5
2568-1035,2025-07,50.0
2568-1035,2025-08,0.0
2568-1036,2025-03,62.5
2568-1036,2025-04,75.0
2568-1036,2025-05,65.0
2568-1036,2025-06,87.5
2568-1036,2025-07,93.8
2568-1036,2025-08,75.0
2568-1036,2025-09,0.0
2568-1037,2025-03,100.0
2568-1037,2025-04,100.0
2568-1037,2025-05,80.0
2568-1037,2025-06,100.0
2568-1037,2025-07,91.7
2568-1037,2025-08,100.0
2568-1037,2025-09,0.0
2568-1038,2025-03,58.3
2568-1038,2025-04,41.7
2568-1038,2025-05,73.3
2568-1038,2025-06,0.0
2568-1039,2025-05,86.7
2568-1039,2025-06,83.3
2568-1039,2025-07,41.7
2568-1039,2025-08,100.0
2568-1039,2025-09,0.0
2568-1040,2025-03,75.0
2568-1040,2025-04,75.0
2568-1040,2025-05,73.3
2568-1040,2025-06,66.7
2568-1040,2025-07,50.0
2568-1040,2025-08,66.7
2568-1040,2025-09,0.0
2568-1041,2025-03,75.0
2568-1041,2025-04,43.8
2568-1041,2025-05,60.0
2568-1041,2025-06,37.5
2568-1041,2025-07,68.8
2568-1041,2025-08,75.0
2568-1041,2025-09,0.0
2568-1042,2025-04,87.5
2568-1042,2025-05,85.0
2568-1042,2025-06,62.5
2568-1042,2025-07,81.2
2568-1042,2025-08,100.0
2568-1042,2025-09,0.0
2568-1043,2025-03,50.0
2568-1043,2025-04,68.8
2568-1043,2025-05,70.0
2568-1043,2025-06,68.8
2568-1043,2025-07,62.5
2568-1043,2025-08,50.0
2568-1043,2025-09,0.0
2568-1044,2025-03,62.5
2568-1044,2025-04,62.5
2568-1044,2025-05,0.0
2568-1045,2025-03,100.0
2568-1045,2025-04,100.0
2568-1045,2025-05,95.0
2568-1045,2025-06,100.0
2568-1045,2025-07,81.2
2568-1045,2025-08,100.0
2568-1045,2025-09,0.0
2568-1046,2025-03,93.8
2568-1046,2025-04,100.0
2568-1046,2025-05,0.0
2568-1047,2025-03,81.2
2568-1047,2025-04,81.2
2568-1047,2025-05,90.0
2568-1047,2025-06,62.5
2568-1047,2025-07,50.0
2568-1047,2025-08,50.0
2568-1047,2025-09,0.0
2568-1048,2025-03,100.0
2568-1048,2025-04,91.7
2568-1048,2025-05,100.0
2568-1048,2025-06,100.0
2568-1048,2025-07,0.0
2568-1049,2025-03,58.3
2568-1049,2025-04,75.0
2568-1049,2025-05,73.3
2568-1049,2025-06,66.7
2568-1049,2025-07,58.3
2568-1049,2025-08,66.7
2568-1049,2025-09,0.0
2568-1050,2025-03,75.0
2568-1050,2025-04,81.2
2568-1050,2025-05,80.0
2568-1050,2025-06,87.5
2568-1050,2025-07,87.5
2568-1050,2025-08,75.0
2568-1050,2025-09,0.0
2568-1051,2025-03,25.0
2568-1051,2025-04,62.5
2568-1051,2025-05,50.0
2568-1051,2025-06,25.0
2568-1051,2025-07,37.5
2568-1051,2025-08,50.0
2568-1051,2025-09,0.0
2568-1052,2025-03,93.8
2568-1052,2025-04,93.8
2568-1052,2025-05,90.0
2568-1052,2025-06,87.5
2568-1052,2025-07,93.8
2568-1052,2025-08,75.0
2568-1052,2025-09,0.0
2568-1053,2025-03,87.5
2568-1053,2025-04,50.0
2568-1053,2025-05,80.0
2568-1053,2025-06,0.0
2568-1054,2025-04,100.0
2568-1054,2025-05,100.0
2568-1054,2025-06,100.0
2568-1054,2025-07,100.0
2568-1054,2025-08,66.7
2568-1054,2025-09,0.0
2568-1055,2025-03,62.5
2568-1055,2025-04,68.8
2568-1055,2025-05,75.0
2568-1055,2025-06,0.0
2568-1056,2025-03,56.2
2568-1056,2025-04,56.2
2568-1056,2025-05,75.0
2568-1056,2025-06,56.2
2568-1056,2025-07,62.5
2568-1056,2025-08,100.0
2568-1056,2025-09,0.0
2568-1057,2025-03,100.0
2568-1057,2025-04,100.0
2568-1057,2025-05,100.0
2568-1057,2025-06,100.0
2568-1057,2025-07,93.8
2568-1057,2025-08,100.0
2568-1057,2025-09,0.0
2568-1058,2025-03,100.0
2568-1058,2025-04,100.0
2568-1058,2025-05,100.0
2568-1058,2025-06,87.5
2568-1058,2025-07,87.5
2568-1058,2025-08,100.0
2568-1058,2025-09,0.0
2568-1059,2025-04,91.7
2568-1059,2025-05,100.0
2568-1059,2025-06,91.7
2568-1059,2025-07,100.0
2568-1059,2025-08,100.0
2568-1059,2025-09,0.0
2568-1060,2025-05,30.0
2568-1060,2025-06,62.5
2568-1060,2025-07,75.0
2568-1060,2025-08,0.0
2568-1061,2025-03,75.0
2568-1061,2025-04,62.5
2568-1061,2025-05,80.0
2568-1061,2025-06,62.5
2568-1061,2025-07,81.2
2568-1061,2025-08,75.0
2568-1061,2025-09,0.0
2568-1062,2025-05,60.0
2568-1062,2025-06,83.3
2568-1062,2025-07,83.3
2568-1062,2025-08,33.3
2568-1062,2025-09,0.0
2568-1063,2025-05,60.0
2568-1063,2025-06,68.8
2568-1063,2025-07,75.0
2568-1063,2025-08,75.0
2568-1063,2025-09,0.0
2568-1064,2025-03,0.0
2568-1065,2025-05,80.0
2568-1065,2025-06,87.5
2568-1065,2025-07,0.0
2568-1066,2025-03,62.5
2568-1066,2025-04,50.0
2568-1066,2025-05,50.0
2568-1066,2025-06,0.0
2568-1067,2025-05,40.0
2568-1067,2025-06,25.0
2568-1067,2025-07,50.0
2568-1067,2025-08,25.0
2568-1067,2025-09,0.0
2568-1068,2025-03,100.0
2568-1068,2025-04,100.0
2568-1068,2025-05,80.0
2568-1068,2025-06,83.3
2568-1068,2025-07,91.7
2568-1068,2025-08,0.0
2568-1069,2025-03,87.5
2568-1069,2025-04,68.8
2568-1069,2025-05,100.0
2568-1069,2025-06,75.0
2568-1069,2025-07,93.8
2568-1069,2025-08,100.0
2568-1069,2025-09,0.0
2568-1070,2025-03,66.7
2568-1070,2025-04,83.3
2568-1070,2025-05,66.7
2568-1070,2025-06,83.3
2568-1070,2025-07,100.0
2568-1070,2025-08,100.0
2568-1070,2025-09,0.0
2568-1071,2025-03,83.3
2568-1071,2025-04,83.3
