student_key,year,month,att_month_pct,att_cum_pct,att_delta,practice_pct,checkpoint_pct,exam_avg_score,new_attempts_month,max_silent_weeks,streak_weeks,month_index,churned_next_month,grade,live_or_replay,old_new,signup_lateness,n_subjects,months_enrolled
2568-1002,2568,2025-03,68.75,68.75,,50.0,75.0,90.475,4,0,2,1,0.0,ม.1,สด,new,0,4,1
2568-1003,2568,2025-03,68.75,68.75,,25.0,75.0,65.55,2,0,1,1,0.0,ม.3,สด,new,0,4,1
2568-1004,2568,2025-03,43.75,43.75,,25.0,100.0,62.2,2,0,1,1,0.0,ม.2,สด,new,0,4,1
2568-1005,2568,2025-03,52.94117647058824,52.94117647058824,,12.5,50.0,73.1,1,0,0,1,0.0,ม.3,เทป,old,0,4,1
2568-1006,2568,2025-03,76.92307692307693,76.92307692307693,,33.333333333333336,66.66666666666667,78.0,2,0,0,1,0.0,ม.3,สด,new,0,3,1
2568-1012,2568,2025-03,100.0,100.0,,25.0,50.0,100.0,1,0,5,1,0.0,ม.2,สด,new,0,2,1
2568-1014,2568,2025-03,81.25,81.25,,12.5,75.0,68.5,1,0,3,1,0.0,ม.2,เทป,old,0,4,1
2568-1015,2568,2025-03,33.33333333333333,33.33333333333333,,50.0,0.0,72.4,2,1,0,1,1.0,ม.2,เทป,new,0,2,1
2568-1016,2568,2025-03,76.47058823529412,76.47058823529412,,50.0,50.0,97.025,4,0,5,1,0.0,ม.3,เทป,new,0,4,1
2568-1017,2568,2025-03,81.25,81.25,,12.5,75.0,88.6,1,0,5,1,0.0,ม.3,สด,new,0,4,1
2568-1021,2568,2025-03,76.47058823529412,76.47058823529412,,37.5,100.0,86.13333333333333,3,0,3,1,0.0,ม.2,สด,old,0,4,1
2568-1022,2568,2025-03,38.46153846153847,38.46153846153847,,33.333333333333336,66.66666666666667,70.05,2,0,0,1,0.0,ม.3,เทป,new,0,3,1
2568-1025,2568,2025-03,55.55555555555556,55.55555555555556,,0.0,50.0,,0,1,0,1,0.0,ม.1,สด,new,0,2,1
2568-1026,2568,2025-03,75.0,75.0,,37.5,100.0,74.86666666666666,3,0,5,1,0.0,ม.2,สด,new,0,4,1
2568-1027,2568,2025-03,100.0,100.0,,50.0,100.0,78.1,4,0,5,1,0.0,ม.3,สด,new,0,4,1
2568-1028,2568,2025-03,88.88888888888889,88.88888888888889,,37.5,75.0,88.15,4,0,5,1,0.0,ม.2,สด,new,0,4,1
2568-1029,2568,2025-03,100.0,100.0,,37.5,100.0,83.63333333333334,3,0,5,1,0.0,ม.1,สด,new,0,4,1
2568-1030,2568,2025-03,93.75,93.75,,37.5,75.0,87.5,4,0,5,1,0.0,ม.2,สด,new,0,4,1
2568-1031,2568,2025-03,62.5,62.5,,12.5,25.0,67.9,2,0,0,1,0.0,ม.1,สด,new,0,4,1
2568-1032,2568,2025-03,100.0,100.0,,50.0,50.0,86.325,4,0,5,1,0.0,ม.2,สด,new,0,4,1
2568-1033,2568,2025-03,62.5,62.5,,25.0,50.0,71.0,1,1,2,1,0.0,ม.3,สด,new,0,2,1
2568-1036,2568,2025-03,70.58823529411765,70.58823529411765,,50.0,75.0,78.9,4,0,1,1,0.0,ม.2,เทป,new,0,4,1
2568-1037,2568,2025-03,100.0,100.0,,33.333333333333336,100.0,100.0,2,0,5,1,0.0,ม.1,เทป,new,0,3,1
2568-1038,2568,2025-03,38.46153846153847,38.46153846153847,,16.666666666666668,66.66666666666667,86.85,2,0,0,1,0.0,ม.3,เทป,new,0,3,1
2568-1040,2568,2025-03,41.66666666666667,41.66666666666667,,0.0,66.66666666666667,,0,1,0,1,0.0,ม.1,เทป,new,0,3,1
2568-1041,2568,2025-03,72.22222222222221,72.22222222222221,,37.5,25.0,68.06666666666668,3,0,0,1,0.0,ม.2,สด,new,0,4,1
2568-1043,2568,2025-03,62.5,62.5,,25.0,50.0,71.95,2,0,0,1,0.0,ม.2,สด,new,0,4,1
2568-1044,2568,2025-03,22.22222222222222,22.22222222222222,,25.0,0.0,56.9,1,2,0,1,0.0,ม.3,สด,new,0,2,1
2568-1045,2568,2025-03,100.0,100.0,,50.0,100.0,89.175,4,0,5,1,0.0,ม.3,สด,old,0,4,1
2568-1046,2568,2025-03,87.5,87.5,,50.0,100.0,84.30000000000001,6,0,5,1,0.0,ม.3,สด,new,0,4,1
2568-1047,2568,2025-03,58.82352941176471,58.82352941176471,,25.0,75.0,68.23333333333333,3,0,2,1,0.0,ม.2,เทป,old,0,4,1
2568-1048,2568,2025-03,100.0,100.0,,33.333333333333336,100.0,89.43333333333334,3,0,5,1,0.0,ม.2,สด,new,0,3,1
2568-1049,2568,2025-03,58.333333333333336,58.333333333333336,,50.0,33.333333333333336,74.39999999999999,3,0,0,1,0.0,ม.2,สด,new,0,3,1
2568-1050,2568,2025-03,70.58823529411765,70.58823529411765,,25.0,75.0,77.25,2,0,1,1,0.0,ม.3,สด,new,0,4,1
2568-1051,2568,2025-03,55.55555555555556,55.55555555555556,,25.0,100.0,67.0,1,0,1,1,0.0,ม.2,สด,new,0,2,1
2568-1052,2568,2025-03,87.5,87.5,,50.0,75.0,91.06,5,0,3,1,0.0,ม.3,เทป,old,0,4,1
2568-1053,2568,2025-03,66.66666666666666,66.66666666666666,,25.0,100.0,73.89999999999999,3,0,1,1,0.0,ม.3,สด,new,0,2,1
2568-1055,2568,2025-03,64.70588235294117,64.70588235294117,,37.5,50.0,76.42500000000001,4,0,3,1,0.0,ม.3,เทป,new,0,4,1
2568-1056,2568,2025-03,75.0,75.0,,37.5,25.0,70.03333333333333,3,0,4,1,0.0,ม.2,สด,new,0,4,1
2568-1057,2568,2025-03,100.0,100.0,,37.5,75.0,96.86666666666667,3,0,5,1,0.0,ม.3,สด,new,0,4,1
2568-1058,2568,2025-03,100.0,100.0,,25.0,100.0,99.1,1,0,5,1,0.0,ม.1,สด,new,0,2,1
2568-1061,2568,2025-03,76.47058823529412,76.47058823529412,,50.0,100.0,72.85000000000001,6,0,0,1,0.0,ม.3,สด,new,0,4,1
2568-1064,2568,2025-03,50.0,50.0,,50.0,100.0,94.35,2,0,0,1,1.0,ม.2,สด,new,0,2,1
2568-1066,2568,2025-03,66.66666666666666,66.66666666666666,,37.5,25.0,69.73333333333333,3,0,2,1,0.0,ม.2,เทป,new,0,4,1
2568-1068,2568,2025-03,100.0,100.0,,50.0,100.0,87.73333333333333,3,0,5,1,0.0,ม.3,สด,new,0,3,1
2568-1069,2568,2025-03,94.73684210526315,94.73684210526315,,50.0,50.0,75.45,4,0,5,1,0.0,ม.3,สด,old,0,4,1
2568-1070,2568,2025-03,83.33333333333334,83.33333333333334,,50.0,66.66666666666667,87.16666666666667,3,0,0,1,0.0,ม.3,เทป,new,0,3,1
2568-1071,2568,2025-03,92.3076923076923,92.3076923076923,,33.333333333333336,100.0,92.6,2,0,0,1,0.0,ม.2,เทป,new,0,3,1
2568-1072,2568,2025-03,62.5,62.5,,25.0,100.0,76.5,2,0,0,1,0.0,ม.3,สด,new,0,2,1
2568-1074,2568,2025-03,43.75,43.75,,12.5,50.0,39.3,1,0,0,1,0.0,ม.1,สด,new,0,4,1
2568-1075,2568,2025-03,33.33333333333333,33.33333333333333,,25.0,0.0,55.5,1,2,0,1,1.0,ม.3,สด,new,0,2,1
2568-1076,2568,2025-03,56.25,56.25,,37.5,100.0,84.45,4,0,1,1,0.0,ม.2,สด,old,0,4,1
2568-1084,2568,2025-03,93.75,93.75,,50.0,75.0,87.975,4,0,5,1,0.0,ม.2,เทป,old,0,4,1
2568-1086,2568,2025-03,62.5,62.5,,50.0,50.0,75.75,2,1,0,1,0.0,ม.2,เทป,new,0,2,1
2568-1087,2568,2025-03,88.88888888888889,88.88888888888889,,37.5,50.0,79.99999999999999,3,0,5,1,0.0,ม.3,สด,old,0,4,1
2568-1090,2568,2025-03,37.5,37.5,,0.0,0.0,,0,0,1,1,1.0,ม.1,สด,new,0,4,1
2568-1092,2568,2025-03,87.5,87.5,,50.0,50.0,67.25,2,0,0,1,1.0,ม.3,สด,new,0,2,1
2568-1093,2568,2025-03,100.0,100.0,,50.0,0.0,90.13333333333333,3,0,5,1,0.0,ม.2,สด,new,0,3,1
2568-1094,2568,2025-03,83.33333333333334,83.33333333333334,,33.333333333333336,100.0,94.3,2,0,1,1,0.0,ม.1,เทป,new,0,3,1
2568-1095,2568,2025-03,52.94117647058824,52.94117647058824,,25.0,50.0,66.16666666666667,3,0,1,1,0.0,ม.2,สด,new,0,4,1
2568-1096,2568,2025-03,87.5,87.5,,50.0,75.0,84.375,4,0,5,1,0.0,ม.2,สด,old,0,4,1
2568-1097,2568,2025-03,100.0,100.0,,25.0,100.0,97.0,1,0,5,1,0.0,ม.2,สด,old,0,2,1
2568-1098,2568,2025-03,55.55555555555556,55.55555555555556,,50.0,50.0,73.85,2,1,2,1,0.0,ม.3,สด,new,0,2,1
2568-1099,2568,2025-03,76.47058823529412,76.47058823529412,,25.0,100.0,84.23333333333333,3,1,3,1,0.0,ม.2,สด,new,0,4,1
2568-1101,2568,2025-03,75.0,75.0,,50.0,50.0,94.85,2,0,0,1,0.0,ม.3,สด,new,0,2,1
2568-1102,2568,2025-03,100.0,100.0,,50.0,100.0,83.03333333333333,3,0,0,1,0.0,ม.3,สด,new,0,3,1
2568-1104,2568,2025-03,41.17647058823529,41.17647058823529,,37.5,100.0,61.279999999999994,5,0,1,1,0.0,ม.3,สด,new,0,4,1
2568-1105,2568,2025-03,75.0,75.0,,33.333333333333336,100.0,81.46666666666665,3,0,0,1,0.0,ม.3,เทป,new,0,3,1
2568-1106,2568,2025-03,72.22222222222221,72.22222222222221,,37.5,25.0,66.03333333333333,3,0,3,1,0.0,ม.3,สด,old,0,4,1
2568-1108,2568,2025-03,69.23076923076923,69.23076923076923,,16.666666666666668,66.66666666666667,75.9,1,0,1,1,0.0,ม.1,สด,new,0,3,1
2568-1109,2568,2025-03,76.92307692307693,76.92307692307693,,16.666666666666668,66.66666666666667,77.9,2,0,0,1,0.0,ม.1,สด,new,0,3,1
2568-1111,2568,2025-03,70.58823529411765,70.58823529411765,,25.0,50.0,76.35,2,0,0,1,0.0,ม.3,เทป,new,0,4,1
2568-1112,2568,2025-03,77.77777777777779,77.77777777777779,,37.5,50.0,67.66666666666667,3,0,0,1,0.0,ม.3,สด,old,0,4,1
2568-1117,2568,2025-03,82.35294117647058,82.35294117647058,,37.5,50.0,72.66666666666667,3,0,4,1,0.0,ม.3,สด,new,0,4,1
2568-1118,2568,2025-03,44.44444444444444,44.44444444444444,,37.5,50.0,72.65,4,0,0,1,0.0,ม.2,เทป,new,0,4,1
2568-1122,2568,2025-03,81.25,81.25,,37.5,75.0,73.73333333333333,3,0,2,1,0.0,ม.1,สด,new,0,4,1
2568-1123,2568,2025-03,76.47058823529412,76.47058823529412,,12.5,25.0,60.8,1,0,0,1,0.0,ม.2,เทป,old,0,4,1
2568-1124,2568,2025-03,82.35294117647058,82.35294117647058,,25.0,50.0,73.75,2,0,3,1,0.0,ม.3,สด,old,0,4,1
