รหัส,วิชา,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10
7001,ฟิสิกส์,มา,มา,มา,ขาด,มา,มา,มา,มา,มา,มา
7001,เคมี,มา,มา,ลา,มา,มา,มา,ขาด,มา,มา,มา
7001,ชีวะ,มา,มา,มา,มา,มา,มา,มา,มา,มา,มา
7001,เลข,มา,ขาด,มา,มา,มา,มา ,มา,มา,มา,มา
7002,ฟิสิกส์,มา,มา,มา,มา,ขาด,ขาด,มา,มา,,
7002,เคมี,มา,มา,มา,มา,มา,ขาด,มา,มา,,
7002,เลข,ลา,มา,มา,มา,มา,มา,มา,มา,,
7003,ฟิสิกส์,ขาด,ขาด,มา,มา,ขาด,มา,ขาด,ขาด,ขาด,ขาด
7003,เลข,มา,ขาด,ขาด,มา,,ขาด,ขาด,ขาด,ขาด,ขาด
7004,เคมี,มา,มา,มา,มา,มา,มา,มา,มา,มา,มา
7004,ชีวะ,มา,มา,ลา,ลา,มา,มา,มา,มา,มา,มา
7005,ฟิสิกส์,มา,มา,มา,มา,มา,มา,มา,มา,มา,มา
7005,เคมี,มา ,มา,มา,มา,มา,มา,มา,มา,มา,มา
7005,ชีวะ,มา,มา,มา,ขาด,มา,มา,มา,มา,มา,มา
7005,เลข,มา,มา,มา,มา,มา,ลา,มา,มา,มา,มา
7006,ชีวะ,มา,ขาด,มา,ขาด,มา,ขาด,ขาด,,,
7007,ฟิสิกส์,มา,มา,ขาด,มา,มา,มา,มา,ขาด,มา,มา
7007,เคมี,มา,มา,มา,มา,ขาด ,มา,มา,มา,มา,มา
7008,เคมี,มา,มา,มา,มา,มา,มา,มา,มา,มา,มา
7008,เลข,ขาด,มา,มา,ลา,มา,มา,มา,มา,มา,มา
7009,ฟิสิกส์,มา,มา,มา,มา,มา,ขาด,ขาด,ขาด,ขาด,ขาด
7009,เคมี,มา,มา,มา,มา,ขาด,ขาด,ขาด,ขาด,ขาด,ขาด
7009,ชีวะ,มา,มา,ลา,มา,มา,ขาด,ขาด,ขาด,ขาด,ขาด
7009,เลข,มา,มา,มา,มา,มา,ขาด,ขาด,ขาด,ขาด,ขาด
7010,ฟิสิกส์,มา,มา,มา,มา,มา,มา,มา,มา,มา,มา
7010,เคมี,มา,ลา,มา,มา,มา,มา,มา,มา,มา,มา
7010,ชีวะ,มา,มา,มา,มา,มา,มา,ขาด,มา,มา,มา
7012,ฟิสิกส์,มา,มา,มา,มา,มา,มา,มา,มา,,
7012,ชีวะ,มา,มา,ขาด,มา,มา,มา,มา,มา,,
7012,เลข,มา,มา,มา,มา,ลา,มา,มา,มา,,
