student_key,year,week_start,week_end,att_week_pct,att_cum_pct,silent_weeks,streak_weeks,practice_done,practice_total,practice_pct,practice_avg_score,checkpoint_done,checkpoint_total,checkpoint_pct,checkpoint_avg_score,tier
2568-1001,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1002,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1003,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1004,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1005,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1006,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1007,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1008,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1009,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1010,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1011,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1012,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,2,0.0,,0,0,,,green
2568-1013,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1014,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1015,2568,2025-03-03,2025-03-09,0.0,0.0,1,0,0,2,0.0,,0,0,,,red
2568-1016,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1017,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1018,2568,2025-03-03,2025-03-09,,,0,0,0,3,0.0,,0,0,,,green
2568-1019,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1020,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1021,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1022,2568,2025-03-03,2025-03-09,33.333333333333336,33.333333333333336,0,0,0,3,0.0,,0,0,,,orange
2568-1023,2568,2025-03-03,2025-03-09,,,0,0,0,2,0.0,,0,0,,,green
2568-1024,2568,2025-03-03,2025-03-09,,,0,0,0,2,0.0,,0,0,,,green
2568-1025,2568,2025-03-03,2025-03-09,0.0,0.0,1,0,0,2,0.0,,0,0,,,red
2568-1026,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1027,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1028,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1029,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1030,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1031,2568,2025-03-03,2025-03-09,50.0,50.0,0,0,0,4,0.0,,0,0,,,yellow
2568-1032,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1033,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,2,0.0,,0,0,,,green
2568-1034,2568,2025-03-03,2025-03-09,,,0,0,0,3,0.0,,0,0,,,green
2568-1035,2568,2025-03-03,2025-03-09,,,0,0,0,2,0.0,,0,0,,,green
2568-1036,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
2568-1037,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,3,0.0,,0,0,,,green
2568-1038,2568,2025-03-03,2025-03-09,33.333333333333336,33.333333333333336,0,0,0,3,0.0,,0,0,,,orange
2568-1039,2568,2025-03-03,2025-03-09,,,0,0,0,3,0.0,,0,0,,,green
2568-1040,2568,2025-03-03,2025-03-09,0.0,0.0,1,0,0,3,0.0,,0,0,,,red
2568-1041,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1042,2568,2025-03-03,2025-03-09,,,0,0,0,4,0.0,,0,0,,,green
2568-1043,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1044,2568,2025-03-03,2025-03-09,0.0,0.0,1,0,0,2,0.0,,0,0,,,red
2568-1045,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1046,2568,2025-03-03,2025-03-09,100.0,100.0,0,1,0,4,0.0,,0,0,,,green
2568-1047,2568,2025-03-03,2025-03-09,75.0,75.0,0,1,0,4,0.0,,0,0,,,green
